Date,Open,High,Low,Close,Adj Close,Volume
10/02/2018,0.39844,0.45392,0.384953,0.406856,0.406856,227551008
11/02/2018,0.406615,0.406615,0.357825,0.370005,0.370005,85791696
12/02/2018,0.374181,0.40182,0.374181,0.395649,0.395649,61140000
13/02/2018,0.396419,0.435547,0.374388,0.410614,0.410614,196175008
14/02/2018,0.409872,0.457474,0.402079,0.453888,0.453888,192628992
15/02/2018,0.452048,0.463623,0.44426,0.453556,0.453556,106142000
16/02/2018,0.451796,0.458327,0.441777,0.455446,0.455446,53289200
17/02/2018,0.455103,0.483244,0.451585,0.479075,0.479075,104733000
18/02/2018,0.479855,0.486165,0.441988,0.450399,0.450399,74452000
19/02/2018,0.450437,0.461753,0.448995,0.452932,0.452932,57015400
20/02/2018,0.452845,0.455373,0.399315,0.402289,0.402289,104842000
21/02/2018,0.399718,0.433562,0.379845,0.396765,0.396765,132189000
22/02/2018,0.393891,0.408898,0.358483,0.366447,0.366447,69561104
23/02/2018,0.364134,0.390408,0.352623,0.381985,0.381985,56829000
24/02/2018,0.382687,0.386899,0.346156,0.355163,0.355163,34738100
25/02/2018,0.354549,0.36694,0.336719,0.357302,0.357302,42268800
26/02/2018,0.358687,0.371765,0.346502,0.364579,0.364579,42535600
27/02/2018,0.364632,0.37245,0.354834,0.362051,0.362051,38136100
28/02/2018,0.36041,0.364738,0.333916,0.333916,0.333916,38961000
1/03/2018,0.334118,0.347566,0.321558,0.339314,0.339314,46631800
2/03/2018,0.338691,0.340805,0.31885,0.320107,0.320107,38378100
3/03/2018,0.319021,0.350168,0.313368,0.350168,0.350168,52827100
4/03/2018,0.354031,0.363792,0.342398,0.36193,0.36193,99892704
5/03/2018,0.363777,0.398224,0.352031,0.352031,0.352031,98523696
6/03/2018,0.351753,0.366554,0.335254,0.337911,0.337911,44141000
7/03/2018,0.337814,0.349137,0.300388,0.329103,0.329103,62389100
8/03/2018,0.329847,0.341127,0.306218,0.311938,0.311938,47233100
9/03/2018,0.311237,0.31544,0.267454,0.311859,0.311859,56838800
10/03/2018,0.315618,0.320392,0.29007,0.292661,0.292661,21963200
11/03/2018,0.291868,0.306688,0.280042,0.304217,0.304217,26023900
12/03/2018,0.304301,0.312193,0.286332,0.291765,0.291765,29443200
13/03/2018,0.290151,0.301183,0.28229,0.290193,0.290193,24814700
14/03/2018,0.29185,0.297763,0.240711,0.248689,0.248689,49138300
15/03/2018,0.248854,0.250575,0.217064,0.240655,0.240655,54358800
16/03/2018,0.240988,0.241545,0.227545,0.229991,0.229991,23756700
17/03/2018,0.230277,0.234321,0.200989,0.206731,0.206731,33001800
18/03/2018,0.206409,0.222828,0.158913,0.220473,0.220473,91400496
19/03/2018,0.222368,0.250226,0.212955,0.250226,0.250226,93820800
20/03/2018,0.249992,0.282082,0.235574,0.267968,0.267968,88101600
21/03/2018,0.27067,0.271789,0.249781,0.254636,0.254636,93970496
22/03/2018,0.25517,0.259328,0.228713,0.243212,0.243212,53777200
23/03/2018,0.242993,0.242993,0.224581,0.236147,0.236147,49937100
24/03/2018,0.237745,0.245778,0.234044,0.235422,0.235422,37806800
25/03/2018,0.233062,0.242739,0.230378,0.239952,0.239952,31527600
26/03/2018,0.239258,0.246144,0.217238,0.228861,0.228861,44406300
27/03/2018,0.228565,0.229138,0.20523,0.216033,0.216033,37693300
28/03/2018,0.215889,0.225843,0.215086,0.219251,0.219251,21717600
29/03/2018,0.219226,0.22146,0.187853,0.190819,0.190819,44352600
30/03/2018,0.190582,0.199357,0.174934,0.188733,0.188733,37767000
31/03/2018,0.189039,0.22078,0.189039,0.206778,0.206778,82895904
1/04/2018,0.207723,0.21339,0.190688,0.206582,0.206582,43075500
2/04/2018,0.207131,0.233383,0.204698,0.224878,0.224878,70195696
3/04/2018,0.225992,0.239845,0.225069,0.235691,0.235691,76510096
4/04/2018,0.233729,0.236577,0.20238,0.204108,0.204108,58482100
5/04/2018,0.207124,0.209153,0.191903,0.19794,0.19794,46694000
6/04/2018,0.197781,0.199645,0.18909,0.193317,0.193317,30056300
7/04/2018,0.193547,0.20575,0.192891,0.201859,0.201859,27242100
8/04/2018,0.201817,0.207877,0.201279,0.206377,0.206377,18973800
9/04/2018,0.206718,0.213455,0.192837,0.197333,0.197333,36684300
10/04/2018,0.197444,0.201289,0.196407,0.199344,0.199344,26841200
11/04/2018,0.199526,0.212465,0.198926,0.212337,0.212337,40041100
12/04/2018,0.211258,0.242264,0.206995,0.24212,0.24212,103292000
13/04/2018,0.241112,0.26708,0.23292,0.24629,0.24629,112587000
14/04/2018,0.245338,0.259121,0.2426,0.250668,0.250668,44754800
15/04/2018,0.250979,0.296395,0.250979,0.290722,0.290722,129731000
16/04/2018,0.290237,0.301667,0.272608,0.284156,0.284156,90408600
17/04/2018,0.284747,0.317498,0.279779,0.300202,0.300202,112255000
18/04/2018,0.300338,0.353661,0.300338,0.351544,0.351544,158384992
19/04/2018,0.354726,0.377249,0.34903,0.36612,0.36612,171820000
20/04/2018,0.366551,0.398048,0.3565,0.391165,0.391165,170282000
21/04/2018,0.391513,0.398127,0.3484,0.375663,0.375663,119787000
22/04/2018,0.375207,0.383253,0.365541,0.368139,0.368139,64261400
23/04/2018,0.367921,0.37505,0.367044,0.372128,0.372128,57282000
24/04/2018,0.372631,0.407527,0.370864,0.40067,0.40067,120285000
25/04/2018,0.397897,0.3984,0.329635,0.339517,0.339517,130724000
26/04/2018,0.341455,0.388597,0.331014,0.387556,0.387556,152903008
27/04/2018,0.386439,0.425157,0.38391,0.391085,0.391085,177676992
28/04/2018,0.390447,0.435816,0.390447,0.428918,0.428918,105747000
29/04/2018,0.429945,0.461518,0.424669,0.458405,0.458405,156688992
30/04/2018,0.458688,0.460128,0.417446,0.424659,0.424659,81453296
1/05/2018,0.425853,0.451238,0.397226,0.439733,0.439733,152906000
2/05/2018,0.439037,0.446807,0.434455,0.439227,0.439227,68610896
3/05/2018,0.439016,0.442878,0.429411,0.437379,0.437379,83481296
4/05/2018,0.438234,0.439682,0.425356,0.43114,0.43114,51379800
5/05/2018,0.431216,0.435669,0.428005,0.430875,0.430875,44096200
6/05/2018,0.430338,0.432132,0.40805,0.412944,0.412944,43793500
7/05/2018,0.413665,0.414859,0.381616,0.395702,0.395702,48023200
8/05/2018,0.396568,0.411193,0.379952,0.386371,0.386371,50210900
9/05/2018,0.385144,0.388978,0.359381,0.37797,0.37797,54383500
10/05/2018,0.377714,0.386574,0.353962,0.353962,0.353962,39548400
11/05/2018,0.353429,0.355498,0.3008,0.314252,0.314252,80168200
12/05/2018,0.314162,0.364699,0.304241,0.359937,0.359937,93267504
13/05/2018,0.359814,0.381345,0.357971,0.375852,0.375852,73407904
14/05/2018,0.376304,0.383316,0.350513,0.36968,0.36968,58938400
15/05/2018,0.369699,0.373292,0.348445,0.348445,0.348445,39801700
16/05/2018,0.346798,0.347675,0.323518,0.334677,0.334677,43623300
17/05/2018,0.335431,0.350488,0.310994,0.313497,0.313497,31796700
18/05/2018,0.313269,0.319522,0.306723,0.319488,0.319488,31108600
19/05/2018,0.319639,0.329105,0.312646,0.317234,0.317234,23504200
20/05/2018,0.317749,0.334381,0.315875,0.33281,0.33281,30586700
21/05/2018,0.33296,0.33342,0.315671,0.318115,0.318115,27528600
22/05/2018,0.318612,0.321454,0.301084,0.301084,0.301084,31944800
23/05/2018,0.300583,0.301912,0.272845,0.280355,0.280355,39564300
24/05/2018,0.279751,0.29644,0.276007,0.291338,0.291338,45262500
25/05/2018,0.292986,0.298521,0.283877,0.288069,0.288069,45218800
26/05/2018,0.288601,0.29488,0.283048,0.284695,0.284695,40772900
27/05/2018,0.284194,0.284375,0.274538,0.276376,0.276376,45604600
28/05/2018,0.276329,0.27894,0.252205,0.253582,0.253582,48667900
29/05/2018,0.253952,0.283321,0.249187,0.282845,0.282845,62185300
30/05/2018,0.283893,0.295864,0.271554,0.277747,0.277747,59599500
31/05/2018,0.278473,0.302591,0.273827,0.296652,0.296652,78378600
1/06/2018,0.296535,0.299187,0.283216,0.290022,0.290022,62207300
2/06/2018,0.290961,0.303062,0.28985,0.298413,0.298413,58244800
3/06/2018,0.298581,0.309325,0.298349,0.302912,0.302912,64563800
4/06/2018,0.304636,0.309088,0.288416,0.292158,0.292158,56371200
5/06/2018,0.292134,0.29798,0.282434,0.294313,0.294313,48728900
6/06/2018,0.293325,0.299955,0.2895,0.298269,0.298269,51165000
7/06/2018,0.297974,0.305812,0.291841,0.294206,0.294206,49336800
8/06/2018,0.293776,0.296246,0.285597,0.287963,0.287963,47014400
9/06/2018,0.287071,0.29324,0.281894,0.281894,0.281894,44872900
10/06/2018,0.282765,0.282765,0.242728,0.247658,0.247658,54768500
11/06/2018,0.247103,0.256482,0.241464,0.256482,0.256482,47904600
12/06/2018,0.255286,0.255565,0.228748,0.231689,0.231689,47126900
13/06/2018,0.232297,0.23392,0.212596,0.221691,0.221691,48479300
14/06/2018,0.22189,0.243708,0.219758,0.242426,0.242426,53521800
15/06/2018,0.241695,0.242083,0.232559,0.234242,0.234242,37531000
16/06/2018,0.232527,0.235072,0.227153,0.234041,0.234041,34627700
17/06/2018,0.233146,0.235942,0.230298,0.232105,0.232105,31223300
18/06/2018,0.231517,0.240065,0.225079,0.234371,0.234371,36372000
19/06/2018,0.233515,0.239484,0.232644,0.235309,0.235309,34048000
20/06/2018,0.236379,0.23817,0.227794,0.232188,0.232188,43000600
21/06/2018,0.232437,0.236066,0.226508,0.227997,0.227997,38175500
22/06/2018,0.227657,0.228462,0.198004,0.203407,0.203407,41435400
23/06/2018,0.20367,0.206931,0.197436,0.203515,0.203515,33872100
